warning: no usable GPU found, --gpu-layers option will be ignored
warning: one possible reason is that llama.cpp was compiled without GPU support
warning: consult docs/build.md for compilation instructions
0.00.002.229 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.002.314 I srv          init: The UI is disabled
0.00.002.323 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.002.376 W srv  llama_server: -----------------
0.00.002.383 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.002.384 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.002.384 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.002.384 W srv  llama_server: -----------------
0.00.003.649 I srv    load_model: loading model '/workspace/scratch/b33fb38091a9/kyc-local-model/qwen2.5-1.5b-instruct-q4_k_m.gguf'
0.00.342.004 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.510.526 I cmn          init: llama threadpool init, n_threads = 6
0.01.601.252 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.01.605.347 I srv  llama_server: model loaded
0.01.605.365 I srv  llama_server: listening on http://127.0.0.1:8765
0.02.279.888 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.45.132.275 I slot print_timing: id  0 | task 1236 | prompt eval time =    3386.38 ms /   693 tokens (    4.89 ms per token,   204.64 tokens per second)
1.45.132.294 I slot print_timing: id  0 | task 1236 |        eval time =    2074.74 ms /    92 tokens (   22.80 ms per token,    43.86 tokens per second)
1.45.132.295 I slot print_timing: id  0 | task 1236 |       total time =    5461.13 ms /   785 tokens
1.45.132.296 I slot print_timing: id  0 | task 1236 |    graphs reused =       1281
1.45.132.372 I slot      release: id  0 | task 1236 | stop processing: n_tokens = 915, truncated = 0
1.45.140.105 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.257 (> 0.100 thold), f_keep = 0.203
1.45.160.142 I slot launch_slot_: id  0 | task 1329 | processing task, is_child = 0
1.49.907.636 I slot print_timing: id  0 | task 1329 | prompt eval time =    2561.46 ms /   538 tokens (    4.76 ms per token,   210.04 tokens per second)
1.49.907.655 I slot print_timing: id  0 | task 1329 |        eval time =    2185.98 ms /    90 tokens (   24.56 ms per token,    40.71 tokens per second)
1.49.907.655 I slot print_timing: id  0 | task 1329 |       total time =    4747.44 ms /   628 tokens
1.49.907.656 I slot print_timing: id  0 | task 1329 |    graphs reused =       1368
1.49.907.715 I slot      release: id  0 | task 1329 | stop processing: n_tokens = 813, truncated = 0
1.49.914.172 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.197 (> 0.100 thold), f_keep = 0.229
1.49.982.496 I slot launch_slot_: id  0 | task 1420 | processing task, is_child = 0
1.56.117.492 I slot print_timing: id  0 | task 1420 | prompt eval time =    3844.48 ms /   757 tokens (    5.08 ms per token,   196.91 tokens per second)
1.56.117.510 I slot print_timing: id  0 | task 1420 |        eval time =    2290.46 ms /    88 tokens (   26.33 ms per token,    37.98 tokens per second)
1.56.117.511 I slot print_timing: id  0 | task 1420 |       total time =    6134.93 ms /   845 tokens
1.56.117.512 I slot print_timing: id  0 | task 1420 |    graphs reused =       1453
1.56.117.578 I slot      release: id  0 | task 1420 | stop processing: n_tokens = 1030, truncated = 0
1.56.130.824 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.129 (> 0.100 thold), f_keep = 0.127
1.56.208.224 I slot launch_slot_: id  0 | task 1509 | processing task, is_child = 0
2.02.812.278 I slot print_timing: id  0 | task 1509 | prompt eval time =    4298.84 ms /   882 tokens (    4.87 ms per token,   205.17 tokens per second)
2.02.812.293 I slot print_timing: id  0 | task 1509 |        eval time =    2305.16 ms /    98 tokens (   23.76 ms per token,    42.08 tokens per second)
2.02.812.293 I slot print_timing: id  0 | task 1509 |       total time =    6603.99 ms /   980 tokens
2.02.812.294 I slot print_timing: id  0 | task 1509 |    graphs reused =       1548
2.02.812.358 I slot      release: id  0 | task 1509 | stop processing: n_tokens = 1110, truncated = 0
2.02.820.269 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.177 (> 0.100 thold), f_keep = 0.173
2.02.846.222 I slot launch_slot_: id  0 | task 1608 | processing task, is_child = 0
2.10.345.849 I slot print_timing: id  0 | task 1608 | n_gen =    127, tg =  41.83 t/s, tg_3s =  42.16 t/s
2.13.369.761 I slot print_timing: id  0 | task 1608 | n_gen =    249, tg =  41.09 t/s, tg_3s =  40.35 t/s
2.16.374.128 I slot print_timing: id  0 | task 1608 | n_gen =    373, tg =  41.15 t/s, tg_3s =  41.27 t/s
2.19.390.864 I slot print_timing: id  0 | task 1608 | n_gen =    496, tg =  41.05 t/s, tg_3s =  40.77 t/s
2.19.768.722 I slot print_timing: id  0 | task 1608 | prompt eval time =    4487.45 ms /   891 tokens (    5.04 ms per token,   198.55 tokens per second)
2.19.768.739 I slot print_timing: id  0 | task 1608 |        eval time =   12434.99 ms /   512 tokens (   24.33 ms per token,    41.09 tokens per second)
2.19.768.740 I slot print_timing: id  0 | task 1608 |       total time =   16922.44 ms /  1403 tokens
2.19.768.742 I slot print_timing: id  0 | task 1608 |    graphs reused =       2056
2.19.768.898 I slot      release: id  0 | task 1608 | stop processing: n_tokens = 1594, truncated = 0
2.19.779.765 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.198 (> 0.100 thold), f_keep = 0.120
2.19.809.846 I slot launch_slot_: id  0 | task 2121 | processing task, is_child = 0
2.26.652.163 I slot print_timing: id  0 | task 2121 | prompt eval time =    3950.45 ms /   776 tokens (    5.09 ms per token,   196.43 tokens per second)
2.26.652.192 I slot print_timing: id  0 | task 2121 |        eval time =    2891.81 ms /   108 tokens (   27.03 ms per token,    37.00 tokens per second)
2.26.652.192 I slot print_timing: id  0 | task 2121 |       total time =    6842.26 ms /   884 tokens
2.26.652.193 I slot print_timing: id  0 | task 2121 |    graphs reused =       2161
2.26.652.645 I slot      release: id  0 | task 2121 | stop processing: n_tokens = 1075, truncated = 0
2.26.927.673 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 20237558205
2.26.942.139 I slot launch_slot_: id  0 | task 2230 | processing task, is_child = 0
2.34.017.277 I slot print_timing: id  0 | task 2230 | prompt eval time =    4471.69 ms /   896 tokens (    4.99 ms per token,   200.37 tokens per second)
2.34.017.296 I slot print_timing: id  0 | task 2230 |        eval time =    2603.37 ms /   105 tokens (   25.03 ms per token,    39.95 tokens per second)
2.34.017.297 I slot print_timing: id  0 | task 2230 |       total time =    7075.06 ms /  1001 tokens
2.34.017.298 I slot print_timing: id  0 | task 2230 |    graphs reused =       2263
2.34.017.484 I slot      release: id  0 | task 2230 | stop processing: n_tokens = 1058, truncated = 0
2.34.030.021 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.140 (> 0.100 thold), f_keep = 0.121
2.34.065.445 I slot launch_slot_: id  0 | task 2336 | processing task, is_child = 0
2.40.560.186 I slot print_timing: id  0 | task 2336 | prompt eval time =    3874.88 ms /   789 tokens (    4.91 ms per token,   203.62 tokens per second)
2.40.560.200 I slot print_timing: id  0 | task 2336 |        eval time =    2619.81 ms /   107 tokens (   24.72 ms per token,    40.46 tokens per second)
2.40.560.201 I slot print_timing: id  0 | task 2336 |       total time =    6494.69 ms /   896 tokens
2.40.560.202 I slot print_timing: id  0 | task 2336 |    graphs reused =       2368
2.40.560.301 I slot      release: id  0 | task 2336 | stop processing: n_tokens = 1023, truncated = 0
2.40.572.637 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.135 (> 0.100 thold), f_keep = 0.126
2.40.662.493 I slot launch_slot_: id  0 | task 2444 | processing task, is_child = 0
2.47.308.010 I slot print_timing: id  0 | task 2444 | prompt eval time =    4232.88 ms /   828 tokens (    5.11 ms per token,   195.61 tokens per second)
2.47.308.024 I slot print_timing: id  0 | task 2444 |        eval time =    2412.54 ms /   107 tokens (   22.76 ms per token,    43.94 tokens per second)
2.47.308.025 I slot print_timing: id  0 | task 2444 |       total time =    6645.42 ms /   935 tokens
2.47.308.026 I slot print_timing: id  0 | task 2444 |    graphs reused =       2472
2.47.308.427 I slot      release: id  0 | task 2444 | stop processing: n_tokens = 1063, truncated = 0
2.47.321.184 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.140 (> 0.100 thold), f_keep = 0.121
2.47.340.481 I slot launch_slot_: id  0 | task 2552 | processing task, is_child = 0
2.54.217.557 I slot print_timing: id  0 | task 2552 | prompt eval time =    3866.82 ms /   793 tokens (    4.88 ms per token,   205.08 tokens per second)
2.54.217.579 I slot print_timing: id  0 | task 2552 |        eval time =    3010.20 ms /   109 tokens (   27.87 ms per token,    35.88 tokens per second)
2.54.217.579 I slot print_timing: id  0 | task 2552 |       total time =    6877.02 ms /   902 tokens
2.54.217.581 I slot print_timing: id  0 | task 2552 |    graphs reused =       2578
2.54.217.665 I slot      release: id  0 | task 2552 | stop processing: n_tokens = 1030, truncated = 0
2.54.230.247 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 20265123226
2.54.245.141 I slot launch_slot_: id  0 | task 2662 | processing task, is_child = 0
2.59.830.836 I slot print_timing: id  0 | task 2662 | prompt eval time =    3371.99 ms /   639 tokens (    5.28 ms per token,   189.50 tokens per second)
2.59.830.853 I slot print_timing: id  0 | task 2662 |        eval time =    2213.66 ms /    90 tokens (   24.87 ms per token,    40.20 tokens per second)
2.59.830.854 I slot print_timing: id  0 | task 2662 |       total time =    5585.65 ms /   729 tokens
2.59.830.855 I slot print_timing: id  0 | task 2662 |    graphs reused =       2665
2.59.830.930 I slot      release: id  0 | task 2662 | stop processing: n_tokens = 797, truncated = 0
2.59.836.818 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.177 (> 0.100 thold), f_keep = 0.157
2.59.872.624 I slot launch_slot_: id  0 | task 2753 | processing task, is_child = 0
3.05.073.209 I slot print_timing: id  0 | task 2753 | prompt eval time =    2967.78 ms /   583 tokens (    5.09 ms per token,   196.44 tokens per second)
3.05.073.226 I slot print_timing: id  0 | task 2753 |        eval time =    2232.74 ms /    94 tokens (   24.01 ms per token,    41.65 tokens per second)
3.05.073.227 I slot print_timing: id  0 | task 2753 |       total time =    5200.52 ms /   677 tokens
3.05.073.228 I slot print_timing: id  0 | task 2753 |    graphs reused =       2756
3.05.073.288 I slot      release: id  0 | task 2753 | stop processing: n_tokens = 801, truncated = 0
3.05.084.231 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.177 (> 0.100 thold), f_keep = 0.156
3.05.114.306 I slot launch_slot_: id  0 | task 2848 | processing task, is_child = 0
3.09.885.836 I slot print_timing: id  0 | task 2848 | prompt eval time =    2886.64 ms /   581 tokens (    4.97 ms per token,   201.27 tokens per second)
3.09.885.854 I slot print_timing: id  0 | task 2848 |        eval time =    1884.83 ms /    88 tokens (   21.66 ms per token,    46.16 tokens per second)
3.09.885.854 I slot print_timing: id  0 | task 2848 |       total time =    4771.47 ms /   669 tokens
3.09.885.855 I slot print_timing: id  0 | task 2848 |    graphs reused =       2841
3.09.885.912 I slot      release: id  0 | task 2848 | stop processing: n_tokens = 793, truncated = 0
3.09.895.400 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.177 (> 0.100 thold), f_keep = 0.158
3.09.914.602 I slot launch_slot_: id  0 | task 2937 | processing task, is_child = 0
3.14.743.770 I slot print_timing: id  0 | task 2937 | prompt eval time =    2785.93 ms /   582 tokens (    4.79 ms per token,   208.91 tokens per second)
3.14.743.787 I slot print_timing: id  0 | task 2937 |        eval time =    2043.18 ms /    92 tokens (   22.45 ms per token,    44.54 tokens per second)
3.14.743.788 I slot print_timing: id  0 | task 2937 |       total time =    4829.12 ms /   674 tokens
3.14.743.789 I slot print_timing: id  0 | task 2937 |    graphs reused =       2930
3.14.743.922 I slot      release: id  0 | task 2937 | stop processing: n_tokens = 798, truncated = 0
3.14.756.590 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 20285649489
3.14.767.628 I slot launch_slot_: id  0 | task 3030 | processing task, is_child = 0
3.21.676.691 I slot print_timing: id  0 | task 3030 | prompt eval time =    4332.83 ms /   857 tokens (    5.06 ms per token,   197.79 tokens per second)
3.21.676.704 I slot print_timing: id  0 | task 3030 |        eval time =    2576.19 ms /   106 tokens (   24.54 ms per token,    40.76 tokens per second)
3.21.676.705 I slot print_timing: id  0 | task 3030 |       total time =    6909.02 ms /   963 tokens
3.21.676.706 I slot print_timing: id  0 | task 3030 |    graphs reused =       3033
3.21.676.770 I slot      release: id  0 | task 3030 | stop processing: n_tokens = 1031, truncated = 0
3.21.687.340 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.141 (> 0.100 thold), f_keep = 0.126
3.21.765.053 I slot launch_slot_: id  0 | task 3137 | processing task, is_child = 0
3.28.737.128 I slot print_timing: id  0 | task 3137 | prompt eval time =    4266.08 ms /   789 tokens (    5.41 ms per token,   184.95 tokens per second)
3.28.737.144 I slot print_timing: id  0 | task 3137 |        eval time =    2705.94 ms /   112 tokens (   24.38 ms per token,    41.02 tokens per second)
3.28.737.144 I slot print_timing: id  0 | task 3137 |       total time =    6972.02 ms /   901 tokens
3.28.737.145 I slot print_timing: id  0 | task 3137 |    graphs reused =       3142
3.28.737.313 I slot      release: id  0 | task 3137 | stop processing: n_tokens = 1030, truncated = 0
3.28.746.862 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.142 (> 0.100 thold), f_keep = 0.128
3.28.786.779 I slot launch_slot_: id  0 | task 3250 | processing task, is_child = 0
3.35.758.087 I slot print_timing: id  0 | task 3250 | prompt eval time =    4262.99 ms /   800 tokens (    5.33 ms per token,   187.66 tokens per second)
3.35.758.107 I slot print_timing: id  0 | task 3250 |        eval time =    2708.27 ms /   110 tokens (   24.85 ms per token,    40.25 tokens per second)
3.35.758.108 I slot print_timing: id  0 | task 3250 |       total time =    6971.26 ms /   910 tokens
3.35.758.109 I slot print_timing: id  0 | task 3250 |    graphs reused =       3249
3.35.758.181 I slot      release: id  0 | task 3250 | stop processing: n_tokens = 1041, truncated = 0
3.35.764.659 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.142 (> 0.100 thold), f_keep = 0.127
3.35.843.433 I slot launch_slot_: id  0 | task 3361 | processing task, is_child = 0
3.42.609.071 I slot print_timing: id  0 | task 3361 | prompt eval time =    4129.18 ms /   797 tokens (    5.18 ms per token,   193.02 tokens per second)
3.42.609.081 I slot print_timing: id  0 | task 3361 |        eval time =    2636.40 ms /   110 tokens (   24.19 ms per token,    41.34 tokens per second)
3.42.609.081 I slot print_timing: id  0 | task 3361 |       total time =    6765.58 ms /   907 tokens
3.42.609.082 I slot print_timing: id  0 | task 3361 |    graphs reused =       3356
3.42.609.306 I slot      release: id  0 | task 3361 | stop processing: n_tokens = 1038, truncated = 0
3.42.629.527 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 20313514866
3.42.657.007 I slot launch_slot_: id  0 | task 3472 | processing task, is_child = 0
3.49.918.920 I slot print_timing: id  0 | task 3472 | prompt eval time =    4898.69 ms /   958 tokens (    5.11 ms per token,   195.56 tokens per second)
3.49.918.939 I slot print_timing: id  0 | task 3472 |        eval time =    2363.17 ms /   105 tokens (   22.72 ms per token,    44.01 tokens per second)
3.49.918.939 I slot print_timing: id  0 | task 3472 |       total time =    7261.86 ms /  1063 tokens
3.49.918.941 I slot print_timing: id  0 | task 3472 |    graphs reused =       3458
3.49.919.031 I slot      release: id  0 | task 3472 | stop processing: n_tokens = 1120, truncated = 0
3.49.931.116 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.194 (> 0.100 thold), f_keep = 0.170
3.50.007.481 I slot launch_slot_: id  0 | task 3578 | processing task, is_child = 0
3.56.426.356 I slot print_timing: id  0 | task 3578 | prompt eval time =    4019.96 ms /   789 tokens (    5.10 ms per token,   196.27 tokens per second)
3.56.426.370 I slot print_timing: id  0 | task 3578 |        eval time =    2398.86 ms /   107 tokens (   22.63 ms per token,    44.19 tokens per second)
3.56.426.370 I slot print_timing: id  0 | task 3578 |       total time =    6418.81 ms /   896 tokens
